RADICADO,FECHA ACCIDENTE,HORA ACCIDENTE,CLASE ACCIDENTE,GRAVEDAD,CLASIFICACIÓN,DIRECCION,BARRIO,AREA ACCIDENTE,ESTADO DELTIEMPO,No. VICTIMA PEATON,No. VICTIMA ACOMPANANTE,No. VICTIMA PASAJERO,No. VICTIMA CONDUCTOR,No. VICTIMA HERIDO,No. VICTIMA MUERTO
20937,04/10/0022 12:00:00 AM,14:20:00,Choque,herido,Ciclista-Motociclista,VIA HATILLO - LA PRADERA KM 10+400,Esmeralda,Rural,Normal,0,0,0,2,2,0
20956,08/19/2022 12:00:00 AM,20:05:00,Volcamiento,muerte,Ciclista-Motociclista,barbosa-concepcion km 12 aprox. (la chapa parte baja),Esmeralda,Rural,Lluvia,0,0,3,1,3,1
20957,08/29/2022 12:00:00 AM,11:20:00,Atropello,herido,Ciclista-Motociclista,calle 11 con cra 14  centro,Esmeralda,Urbana,Normal,1,0,0,0,1,0
20958,08/29/2022 12:00:00 AM,5:30:00,Choque,herido,Ciclista-Motociclista,km 4 + 300 vereda el eco,Esmeralda,Rural,Lluvia,0,0,0,2,2,0
20959,11/10/0022 12:00:00 AM,8:20:00,Choque,herido,Ciclista-Motociclista,KM 5+500 VEREDA ISAZA,Esmeralda,Rural,Normal,0,0,0,1,1,0
20973,01/11/0022 12:00:00 AM,5:20:00,Volcamiento,herido,Ciclista-Motociclista,km 7+500 vereda chicharras,Esmeralda,Rural,Normal,0,0,0,1,1,0
20974,08/21/2022 12:00:00 AM,12:35:00,Volcamiento,herido,Ciclista-Motociclista,HOSPITAL,Parq.De Las Aguas,Urbana,Normal,0,0,0,1,1,0
21076,06/12/0022 12:00:00 AM,19:10:00,Choque,herido,Ciclista-Motociclista,sector villa maria km 35 +600,Esmeralda,Rural,Lluvia,0,0,2,0,2,0
21083,11/13/2022 12:00:00 AM,19:15:00,Atropello,herido,Ciclista-Motociclista,calle 16 con cra 14-08,Esmeralda,Urbana,Lluvia,1,0,0,0,1,0
20950,08/28/2022 12:00:00 AM,0:10:00,Choque,herido,Ciclista-Motociclista,HATILLO-PRADERA KM15+200 (POPALITO),Esmeralda,Rural,Lluvia,0,0,0,1,1,0
20954,08/31/2022 12:00:00 AM,7:55:00,Choque,herido,Ciclista-Motociclista,cra 21 via colkim,Hospital,Urbana,Lluvia,0,0,1,0,1,0
20955,04/11/0022 12:00:00 AM,12:35:00,Choque,herido,Ciclista-Motociclista,KM7+500 VEREDA CHICHARRAS,Esmeralda,Rural,Normal,0,0,3,3,6,0
21078,11/15/2022 12:00:00 AM,5:40:00,Choque,herido,Ciclista-Motociclista,LOS LAVADEROS KM 7 + 500,Esmeralda,Rural,Normal,0,0,0,2,2,0
21079,09/13/0022 12:00:00 AM,9:00:00,Volcamiento,herido,Ciclista-Motociclista,asilo el buen samaritano  san rafael parte alta  via concepcion,Esmeralda,Rural,Normal,0,0,0,1,1,0
21080,11/13/2022 12:00:00 AM,14:30:00,Volcamiento,herido,Ciclista-Motociclista,km 8 + 500   los abuelos,Esmeralda,Urbana,Normal,0,0,1,1,2,0
21148,01/10/2023 12:00:00 AM,13:35:00,Choque,herido,Ciclista-Motociclista,km 8+793 sector la playita,Papelsa,Rural,Normal,0,0,0,1,1,0
21162,01/09/2023 12:00:00 AM,18:15:00,Atropello,herido,Ciclista-Motociclista,PUERTO MULERO KM 21+050 BARBOSA,Esmeralda,Rural,Normal,1,1,0,1,3,0
21164,01/17/2023 12:00:00 AM,9:05:00,Choque,herido,Ciclista-Motociclista,pradera km 17+692 porce barbosa,Esmeralda,Rural,Normal,0,0,0,1,1,0
21146,01/12/2023 12:00:00 AM,19:30:00,Atropello,herido,Conductor,km 10+300 apox,Papelsa,Rural,Normal,0,0,1,0,1,0
21194,02/16/2023 12:00:00 AM,11:00:00,Choque,herido,Conductor,vereda guayabal,Vereda Guayabal,Rural,Normal,0,1,0,0,1,0
